id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
28863800,'MedDistrict Modern Suite Newly Remodeled MONTHLY',100782278,'Emily  Rich',?,'Near West Side',41.87736,-87.68233,'Private room',44,41,5,27/08/20,0.35,28,365,Chicago,,,,,,,,,,
18650628,'Little Blue Casita in East Austin-Holly',37360849,Jimena,?,78702,30.25401,-97.72962,'Entire home/apt',98,2,64,09/03/20,2.24,1,228,Austin,,,,,,,,,,
32748374,'Hale Kailani House',246269569,Brian,Kauai,Koloa-Poipu,21.88517,-159.46351,'Entire home/apt',900,5,4,13/01/20,0.24,3,90,Hawaii,,,,,,,,,,
17554076,'Spacious Master Bedroom + Bathroom',118606859,Jenna,?,78724,30.27437,-97.63115,'Private room',75,2,0,?,?,2,0,Austin,,,,,,,,,,
6525843,'Kapalua Ridge Villa 611 Ocean View',31297800,Vicky,Maui,Lahaina,21.00004,-156.65784,'Entire home/apt',278,4,10,05/07/19,0.16,42,299,Hawaii,,,,,,,,,,
41048289,'Luxury Master Suite in Modern Eastside House',111351901,Dylan,?,78702,30.27083,-97.73122,'Private room',300,1,2,16/02/20,0.27,2,179,Austin,,,,,,,,,,
38139997,'Solarium Train',289774190,Benjamin,?,'Washington Park West',39.70803,-104.98623,'Private room',89,2,14,20/03/20,1.41,2,0,Denver,,,,,,,,,,
21411962,'Affordable Downtown Austin Condo',83622072,Pearline,?,78723,30.29888,-97.70014,'Private room',50,90,0,?,?,1,89,Austin,,,,,,,,,,
32166923,'Top floor ocean front condo with sweeping ocean views, lanai, partial A/C',111808435,Vacasa,Maui,Kihei-Makena,20.79539,-156.50846,'Entire home/apt',237,2,7,21/03/20,0.44,260,362,Hawaii,,,,,,,,
12935872,'Pool  SPA  BBQ  Amenities + Sparkling Clean!',56644563,Tina,?,'Unincorporated Areas',36.08892,-115.25891,'Entire home/apt',420,4,116,23/08/20,2.27,3,79,'Clark County',,,,,,,,,,
38870208,'3 bedroom home in hip Central Austin,sleeps 8+',6221656,Matt,?,78751,30.32045,-97.72792,'Entire home/apt',1000,2,1,23/02/20,0.14,1,0,Austin,,,,,,,,,
40178081,'Charming private room',110566343,Jackeline,?,Davie,26.07066,-80.25813,'Private room',51,1,2,14/12/19,0.29,1,33,'Broward County',,,,,,,,,,
40540643,'LILY Room North OSU/Greater Columbus/Downtown',217660325,Jin,?,'Near North/University',40.01087,-83.00249,'Private room',32,2,7,13/07/20,1.06,44,1,Columbus,,,,,,,,,,
40940587,'SUMMERLIN MASTER RM SHARE BATH,GYM,LAUNDRY,POOL',148684503,Dee,?,'City of Las Vegas',36.1595,-115.30579,'Private room',66,31,0,?,?,9,80,'Clark County',,,,,,,
13786360,'FAMILY GETAWAY  2BR Full Kitchen  POOL  SPA',62926650,ResortShare3,?,'Pompano Beach',26.22622,-80.15871,'Entire home/apt',192,2,22,01/01/20,0.49,8,338,'Broward County',,,,,,,,,,
3980005,'3 Beds / Open to Women  Families (Room5)',18367531,'Shawn  Staff',Hawaii,'South Hilo',19.71016,-155.06824,'Private room',77,1,243,09/03/20,3.36,5,200,Hawaii,,,,,,,,,,
29399891,'Aloha Hawaiian Private Room with Patio B',168678114,Andrew,Honolulu,'Primary Urban Center',21.33421,-157.88049,'Private room',50,30,82,31/08/20,3.53,4,319,Hawaii,,,,,,,,,,
10124333,'Las Vegas 2BR (6) condo, walk to strip',51948995,Rudolf,?,'Unincorporated Areas',36.11832,-115.16278,'Entire home/apt',275,4,10,09/01/20,0.18,2,263,'Clark County',,,,,,,,,
38389013,'Aloha Beach Paradise',44363746,Chad,Honolulu,Waianae,21.46314,-158.21248,'Entire home/apt',175,5,10,08/03/20,0.82,1,178,Hawaii,,,,,,,,,,
2284274,'Dreamy Hawaii Home',11667642,'Evy And Robinette',Hawaii,Puna,19.41577,-154.96278,'Private room',75,5,102,18/03/20,1.28,1,151,Hawaii,,,,,,,,,,
17909373,'Bright and comfy Allandale home',11866517,Scott,?,78731,30.32289,-97.75187,'Entire home/apt',311,3,0,?,?,1,0,Austin,,,,,,,,,,
34156054,'Blue Haven',64656991,John,?,'Unincorporated Areas',36.01612,-115.29696,'Entire home/apt',89,30,5,31/07/20,0.68,4,320,'Clark County',,,,,,,,,,
43095319,'Sonder  820 South Michigan  Pristine 2BR',12243051,Sonder,?,Loop,41.87221,-87.624,'Entire home/apt',174,3,1,09/07/20,0.4,47,180,Chicago,,,,,,,,,,
41873970,'OMG!2M PRIVATE ISLAND BEACH HOME1 MIN TO BEACH',233665886,Gary,?,'Pompano Beach',26.22094,-80.09212,'Entire home/apt',500,5,14,13/06/20,3.07,6,342,'Broward County',,,,,,,,,,
39020559,'Modern Townhouse Minutes from Downtown',91387449,'Lashaw  Mairead',?,Sunnyside,39.7702,-105.02426,'Entire home/apt',170,1,5,08/03/20,0.59,1,5,Denver,,,,,,,,,,
18610994,'Great Condo at the incomparable Maui Sunset',129266510,'Kyra  Harris Hanson',Maui,Kihei-Makena,20.75552,-156.4597,'Entire home/apt',166,3,46,11/12/19,1.17,1,187,Hawaii,,,,,,,,,,
35486274,'! Luxury Sanitary Sanctuary w/Peaceful View',35213696,Noelle,?,'Unincorporated Areas',36.10687,-115.16659,'Entire home/apt',118,1,26,10/08/20,2.01,4,13,'Clark County',,,,,,,,,,
30718447,'888  60, MGM,2 Bedroom 3 Bath Balcony Suite',12018637,888,?,'Unincorporated Areas',36.10645,-115.16755,'Hotel room',559,1,0,?,?,233,59,'Clark County',,,,,,,,
38595616,'Ocean-view of Waikiki one bed w/Free Parking  Wifi',274646531,Yuri,Honolulu,'Primary Urban Center',21.28153,-157.82754,'Entire home/apt',155,30,4,31/08/20,0.48,5,134,Hawaii,,,,,,,,,,
36960917,'Lovely place close to all amenities',277839201,Anthony,?,Sunrise,26.15432,-80.2392,'Private room',35,7,0,?,?,1,179,'Broward County',,,,,,,,,,
43682067,'1BR Apartment  2 min walk to 16th St Mall',342907436,Berry,?,CBD,39.74453,-104.99359,'Entire home/apt',490,1,0,?,?,10,334,Denver,,,,,,,,,,
35857339,'Flamingo Bay 1 Bedroom 10',9464858,Barbara,?,'Unincorporated Areas',36.10986,-115.20734,'Entire home/apt',161,2,13,10/08/20,1.02,61,202,'Clark County',,,,,,,,,,
37746005,'All inclusive Corporate, Short Term, Temp Housing',140672021,'Peter And Staci',?,'Gateway - Green Valley Ranch',39.79029,-104.79706,'Entire home/apt',83,30,1,05/10/19,0.11,2,310,Denver,,,,,,,,
31653910,'Lovely Andersonville Apt with Ideal Location',210984821,David,?,Uptown,41.97226,-87.66441,'Entire home/apt',75,2,174,15/09/20,8.97,1,167,Chicago,,,,,,,,,,
41521045,'New model private room',327034591,Regina,?,'North Lauderdale',26.20548,-80.21975,'Private room',60,1,3,02/03/20,0.65,1,42,'Broward County',,,,,,,,,,
2885662,'Zilker Getaway: Saltwater Pool  Barton Springs',14747714,Carrye,?,78704,30.25575,-97.77564,'Entire home/apt',1000,3,1,02/08/20,0.63,1,183,Austin,,,,,,,,,,
24031566,'Chicago OakPark Connects',154244784,Almetris,?,Austin,41.89983,-87.77412,'Entire home/apt',80,10,30,11/11/19,1.2,1,263,Chicago,,,,,,,,,,
43655400,'Renovated, Clean Private Room for Female Guests',137754684,Mikah,?,Mid-Cambridge,42.37148,-71.10687,'Private room',65,1,0,?,?,1,361,Cambridge,,,,,,,,,
30855873,'1 Bdr Suite In the Heart of Las Vegas - 3',40408537,Joshua,?,'Unincorporated Areas',36.10334,-115.15692,'Private room',183,2,0,?,?,33,364,'Clark County',,,,,,,,,,
29213270,'Sunset Peaks',134903005,'Carolina Mornings',?,28803,35.49229,-82.51026,'Entire home/apt',345,1,3,17/01/20,0.17,18,282,Asheville,,,,,,,,,,
36904063,'Welcoming Room with Wifi',177705163,'Healthy Buddha',?,Miramar,25.9937,-80.21715,'Private room',50,1,28,30/05/20,2.67,53,28,'Broward County',,,,,,,,,,
43557078,'MIT, Harvard. Quiet Bedroom Semiprivate Bathroom',190111214,Zamira,?,Cambridgeport,42.36061,-71.10587,'Private room',50,32,0,?,?,7,172,Cambridge,,,,,,,,,
34819004,'Bungallow in Hendo. - Avail for Multiple Parties.',262507229,Shaun,?,'City of Henderson',36.0542,-114.96162,'Private room',150,1,0,?,?,1,365,'Clark County',,,,,,,,,,
635548,'Quiet Room 15 mins from the Strip 1',2269240,Fransisca,?,'Unincorporated Areas',36.11275,-115.28265,'Private room',40,2,174,12/01/20,1.8,4,0,'Clark County',,,,,,,,,,
43835750,'W. Asheville Urban Oasis In the Heart of the City',350604174,Katrina,?,28806,35.5779,-82.5901,'Entire home/apt',112,1,33,18/09/20,10.65,1,0,Asheville,,,,,,,,,,
32339759,'La Casita PrimaLuna',2164777,Ryann,?,78702,30.26117,-97.72996,'Entire home/apt',249,2,15,14/06/20,0.81,1,180,Austin,,,,,,,,,,
20174635,'Your serene cabin in the woods',138795160,Leslie,?,28805,35.63378,-82.46649,'Entire home/apt',114,2,71,20/09/20,1.88,1,150,Asheville,,,,,,,,,,
1671132,'Nevada-Las Vegas-Boulevard 2 Bdrm Condo',602654,Rey,?,'Unincorporated Areas',36.03359,-115.173,'Entire home/apt',203,3,12,10/01/20,0.14,10,87,'Clark County',,,,,,,,,,
41818587,'Oceanfront Apartment at Casa La Playa',293753664,Bell,?,Hollywood,26.00416,-80.11744,'Entire home/apt',195,7,0,?,?,2,364,'Broward County',,,,,,,,,,
25355788,'8 miles from the strip 4 BEDROOM HOUSE  42',134150722,Peipei,?,'Unincorporated Areas',35.99617,-115.23178,'Entire home/apt',156,3,57,11/08/20,2.08,1,165,'Clark County',,,,,,,,,,
9698039,'BEAUTIFUL 2BR 2BA PENTHOUSE',7894500,Karen,Maui,Kihei-Makena,20.71401,-156.44533,'Entire home/apt',227,5,37,07/03/20,0.64,2,301,Hawaii,,,,,,,,,,
27756491,'Poipu Beach Cottage: mountain views, walk to beach',209561912,John,Kauai,Koloa-Poipu,21.87381,-159.44673,'Entire home/apt',175,2,41,13/03/20,1.97,1,308,Hawaii,,,,,,,,,
367356,'New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen',1488733,'Vacasa Texas',?,78751,30.30625,-97.72202,'Entire home/apt',132,2,160,31/08/20,1.55,28,359,Austin,,,,,,,,,,
11817347,'KAMAOLE SANDS 7-105-GROUND FLOOR-LARGE LANAI-AC',57940735,Pmi,Maui,Kihei-Makena,20.71288,-156.44428,'Entire home/apt',153,4,13,12/03/20,0.43,63,290,Hawaii,,,,,,,,,,
7583986,'PALMS PLC 15 FLR STRIP VIEWBALCONY',38054477,Gabor,?,'Unincorporated Areas',36.11333,-115.20011,'Entire home/apt',105,1,202,15/08/20,3.28,4,311,'Clark County',,,,,,,,,,
17438961,'Graystone Guesthouse in Las Vegas for Business',8096238,John,?,'Unincorporated Areas',36.01049,-115.13199,'Entire home/apt',79,2,262,27/08/20,6.3,1,27,'Clark County',,,,,,,,,,
39780460,'Astonishing place at the heart of Weston!',50323848,Jesus,?,Weston,26.12416,-80.38708,'Entire home/apt',80,3,3,15/03/20,0.77,1,167,'Broward County',,,,,,,,,,
20649033,'Private Lincoln Square one bed+bath studio apt.',7420910,Janet,?,'Lincoln Square',41.96877,-87.68337,'Entire home/apt',125,2,103,13/09/20,3.02,1,173,Chicago,,,,,,,,,,
40563557,'Kasa  Austin  Elegant 2BD/2BA Apartment',88566861,Kasa,?,78701,30.26445,-97.74134,'Entire home/apt',199,2,15,24/08/20,1.72,25,344,Austin,,,,,,,,,,
11817159,'An amazing spot to enjoy SXSW!!',62941582,Ryan,?,78704,30.25042,-97.75992,'Entire home/apt',600,1,0,?,?,1,0,Austin,,,,,,,,,,
42609210,'Nice cozy bedroom/Private bathroom',54627297,Ghiath,?,'Unincorporated Areas',36.21169,-115.02913,'Private room',45,1,34,28/08/20,5.73,2,360,'Clark County',,,,,,,,,,
20526880,'888  11, MGM Signature Deluxe Suite.',12018637,888,?,'Unincorporated Areas',36.10643,-115.16778,'Hotel room',149,1,4,21/05/18,0.12,233,59,'Clark County',,,,,,,,,
34534440,'SuperHost Downtown Michigan Ave in Historic Area',49626033,Roma,?,'Near North Side',41.89768,-87.62209,'Entire home/apt',110,31,2,23/12/19,0.14,27,365,Chicago,,,,,,,,,,
16240783,'Tropical Garden Studio  - Pool on property',26157559,Barbara,Honolulu,Koolaupoko,21.39426,-157.73541,'Entire home/apt',55,29,27,13/01/20,0.6,12,192,Hawaii,,,,,,,,,,
28988167,' Downtown  Pool  Professional Cleaning ',169758891,Valerie,?,78702,30.27642,-97.70338,'Entire home/apt',295,1,86,13/09/20,3.65,11,356,Austin,,,,,,,,,,
42611896,'Spacious Master Suite with King Bed and Pool',7158696,David,?,'City of Henderson',36.03276,-115.10304,'Private room',45,30,0,?,?,1,58,'Clark County',,,,,,,,,,
39132596,'Boho House near beach/cruise ports/ airport',14080435,Elmer,?,'Fort Lauderdale',26.14214,-80.13978,'Entire home/apt',250,1,33,08/06/20,3.98,6,345,'Broward County',,,,,,,,,,
19228005,'Great Location! Charming Retreat in Central Austin',134609019,Sharon,?,78703,30.30499,-97.77245,'Entire home/apt',108,2,45,18/04/19,1.15,1,0,Austin,,,,,,,,,,
22687071,'Walk to South Congress from a Hip Travis Heights Cottage',2249793,Laura,?,78704,30.24576,-97.74065,'Entire home/apt',131,1,159,13/09/20,4.91,1,164,Austin,,,,,,,,,,
38826612,'3 Nice 2Br 5 minutes walk to LVCC 1 mile to strip',294145202,Sean,?,'Unincorporated Areas',36.13035,-115.14243,'Entire home/apt',89,4,37,15/08/20,3.34,5,13,'Clark County',,,,,,,,,,
29985109,'The passage appartments',225422982,Angela,?,'Unincorporated Areas',36.07861,-115.08195,'Entire home/apt',300,3,0,?,?,1,0,'Clark County',,,,,,,,,,
17123612,'Rova\'s Vegas getaway',100778988,Rova,?,'Unincorporated Areas',36.1624,-115.02651,'Private room',35,30,72,08/03/20,1.68,1,174,'Clark County',,,,,,,,,,
6975186,'Gorgeous  Spacious in Downtown East Austin (NB)',8463836,Amber,?,78702,30.271,-97.73117,'Entire home/apt',1200,3,10,10/11/19,0.19,3,358,Austin,,,,,,,,,,
39693763,'Comfy homestay',305083021,Nikki,?,'New City',41.81382,-87.64173,'Private room',45,5,0,?,?,2,364,Chicago,,,,,,,,,,
12085943,'Beachwalk unit 1501 Hallandale',64777397,Fernando,?,'Hallandale Beach',25.98533,-80.12274,'Entire home/apt',350,1,7,27/02/18,0.17,1,89,'Broward County',,,,,,,,,,
31884833,'Turtle Bay Getaway',238989740,Mark,Honolulu,Koolauloa,21.69874,-157.9933,'Entire home/apt',200,1,42,24/03/20,2.26,1,263,Hawaii,,,,,,,,,,
10770009,'Loft walking distance of SXSW',12702263,Jake,?,78702,30.25823,-97.71538,'Entire home/apt',449,1,0,?,?,1,0,Austin,,,,,,,,,,
25054885,'Modern Arboretum apartment',122127746,Laura,?,78759,30.39165,-97.75569,'Private room',40,2,12,16/03/20,0.44,1,0,Austin,,,,,,,,,,
9610654,'Boutique Double Hotel Suite Borders Andersonville and Uptown',24705990,Rick,?,Uptown,41.96977,-87.66799,'Private room',282,2,6,18/05/19,0.11,12,344,Chicago,,,,,,,,,,
41285627,'Clean  Sanitized Condo,CloseTo Dwtn Chicago',253144613,David,?,'West Town',41.90859,-87.69098,'Entire home/apt',123,2,50,07/09/20,5.91,3,248,Chicago,,,,,,,,,
42893416,'Awesome private apartment in central Denver!',42128186,Glen,?,'Cheesman Park',39.73607,-104.97176,'Entire home/apt',95,2,0,?,?,1,0,Denver,,,,,,,,,,
38265273,'Private Room  Bathroom in Stunning Cambridge Apt',57472513,Rosalie,?,Mid-Cambridge,42.36955,-71.10473,'Private room',110,91,9,15/12/19,0.94,1,121,Cambridge,,,,,,,,,,
39061982,'COME AND ENJOY OUR WARM AND INVITING HOME!',129476369,Cori,?,'Unincorporated Areas',36.08934,-115.28293,'Entire home/apt',170,2,27,25/06/20,2.49,1,210,'Clark County',,,,,,,,,,
41552896,'Stealing Home; the ultimate in downtown Asheville LUXURY! Asheville Tourists, breweries  more!',96187307,Steve,?,28801,35.58686,-82.55151,'Entire home/apt',271,2,7,03/08/20,1.91,26,338,Asheville,,,,,,,,,
23609578,'The Little Art House',11000177,Elizabeth,?,Barnum,39.72535,-105.03517,'Entire home/apt',80,2,94,25/06/20,3.38,2,317,Denver,,,,,,,,,,
12871772,'Convenient Harvard Room',22591136,Ricardo,?,Agassiz,42.38157,-71.11542,'Private room',83,91,43,31/12/19,0.91,2,90,Cambridge,,,,,,,,,,
42294925,'Cozy room for SXSW',195821677,Sandra,?,78758,30.3934,-97.70165,'Private room',40,1,0,?,?,1,0,Austin,,,,,,,,,,
20010784,'Spacious House - Four Beds + Two Full Bathrooms',22248385,Gonzalo,?,78753,30.39025,-97.65868,'Entire home/apt',120,2,8,28/05/18,0.22,2,0,Austin,,,,,,,,,,
35228693,'Pompano Beach  Vacation Spot 2',48000125,Gregory,?,'Pompano Beach',26.23146,-80.11936,'Entire home/apt',65,4,1,31/07/19,0.09,8,259,'Broward County',,,,,,,,,,
45007486,'Luxury Modern 9Bd 8Ba Home w/ Night Club  Pools',306079450,Lyn,?,'Unincorporated Areas',36.12859,-115.22758,'Entire home/apt',2113,3,0,?,?,6,330,'Clark County',,,,,,,,,,
18249329,'Cozy East Austin Bungalow',7900371,Tova,?,78702,30.26128,-97.70658,'Entire home/apt',429,3,1,20/04/17,0.02,1,0,Austin,,,,,,,,,,
28638076,'Southwinds 9 for 3, King Studio Steps to Beach',17469794,Valerie,?,Hollywood,26.00946,-80.11636,'Entire home/apt',260,1,1,11/01/20,0.19,63,237,'Broward County',,,,,,,,,
32339101,'Ilikai Marina 883',74079684,Marina,Honolulu,'Primary Urban Center',21.2864,-157.84053,'Entire home/apt',124,1,0,?,?,189,249,Hawaii,,,,,,,,,,
19227385,'Gecko Hale',134600644,Arthur,Hawaii,Puna,19.59016,-154.93958,'Entire home/apt',69,182,1,15/11/18,0.04,2,261,Hawaii,,,,,,,,,,
28226711,'Hollywood Departamento',51445813,Sergio,?,Hollywood,25.98748,-80.11938,'Entire home/apt',90,3,10,18/03/20,0.66,3,168,'Broward County',,,,,,,,,,
22540969,'Cancun Resort 1 bdrm*',109904033,Colleen,?,'Unincorporated Areas',36.03817,-115.17379,'Private room',211,2,2,21/05/18,0.06,84,88,'Clark County',,,,,,,,,,
35016916,'Freshly Amazing Remodeled 4 Bedroom House',216923731,Al,?,'City of North Las Vegas',36.22553,-115.1631,'Entire home/apt',179,2,34,13/08/20,2.2,1,345,'Clark County',,,,,,,,,,
14658450,'2 Bedroom Resort near Strip and Mack Center.',83948478,Stan,?,'Unincorporated Areas',36.10795,-115.16263,'Entire home/apt',220,6,0,?,?,1,328,'Clark County',,,,,,,,,,
