city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
Shared Room,"$41,513.33",56.32%,16.33333333,17.95151515,165,,11984602,Entire Home/Apt,Premium,100.00%,"$3,650,000.00",15.04,,,,,,24303784,Stuart,"$880,272.00",2,75.75%,,,,
Private Room,"$23,903.18",61.04%,34.49097104,8.58637138,2935,,34931081,Entire Home/Apt,Premium,100.00%,"$3,649,635.00",15.12,,,,,,263145092,Noah,"$846,327.00",1,64.90%,,,,
,,,,,,,34923571,Entire Home/Apt,Premium,100.00%,"$3,649,635.00",15.14,,,,,,9042482,Sara,"$835,850.00",1,100.00%,,,,
,,,,,,,28132224,Private Room,Premium,100.00%,"$3,649,635.00",15.05,,,,,,303737780,Kylee,"$828,205.00",2,80.95%,,,,
,,,,,,,13523589,Private Room,Premium,100.00%,"$3,649,635.00",15.23,,,,,,309544913,Daniel,"$800,064.00",1,52.60%,,,,
neighbourhood,AVERAGE of estimated_annual_revenue,AVERAGE of occupancy_rate,AVERAGE of price_index,COUNTA of id,,,39107645,Entire Home/Apt,Premium,96.40%,"$3,520,000.00",18.36,,,,,,4656446,A.C.,"$793,145.00",4,100.00%,,,,
Rolling Hills,"$1,295,000.00",50.70%,30.34,1,,,41563276,Entire Home/Apt,Premium,94.80%,"$3,460,000.00",17.44,,,,,,152608759,Tracey,"$782,195.00",1,100.00%,,,,
Moreno Mission,"$889,023.25",94.73%,8.3825,4,,,41814651,Entire Home/Apt,Premium,87.10%,"$3,180,000.00",16.14,,,,,,8090962,Dean,"$768,000.00",1,52.60%,,,,
Grantville,"$784,616.67",40.10%,11.47,3,,,39693760,Entire Home/Apt,Premium,81.90%,"$2,990,000.00",15.77,,,,,,158642489,Jennifer,"$730,000.00",1,100.00%,,,,
Carver,"$602,318.64",85.71%,3.027272727,11,,,39028447,Entire Home/Apt,Premium,62.50%,"$2,280,000.00",16.61,,,,,,5579700,Steve,"$730,000.00",1,100.00%,,,,
Atlantic,"$540,818.75",79.65%,11.33,4,,,30416355,Entire Home/Apt,Premium,75.30%,"$2,062,500.00",11.00,,,,,,4726520,Nicolas,"$730,000.00",1,100.00%,,,,
Mount Baker,"$493,050.63",68.85%,6.07625,8,,,37564617,Private Room,Premium,55.90%,"$2,040,000.00",15.26,,,,,,138459,L,"$729,270.00",2,100.00%,,,,
Dakota,"$483,275.31",71.19%,2.473846154,13,,,40923371,Entire Home/Apt,Premium,100.00%,"$1,642,500.00",6.04,,,,,,325943042,Kex Portland,"$723,276.00",2,99.20%,,,,
Plantation,"$390,349.10",55.65%,4.922,10,,,24563527,Entire Home/Apt,Premium,50.70%,"$1,295,000.00",10.06,,,,,,39073224,Maui Resort Rentals,"$721,585.00",9,32.23%,,,,
Highland,"$282,903.06",76.62%,4.116875,16,,,36237384,Entire Home/Apt,Premium,75.60%,"$1,291,404.00",6.64,,,,,,74430479,Matt,"$711,750.00",1,100.00%,,,,
Twin Peaks,"$282,394.40",60.94%,4.23,5,,,21440074,Entire Home/Apt,Premium,100.00%,"$1,094,635.00",3.41,,,,,,194953121,Christian,"$685,989.00",14,40.87%,,,,
Financial District,"$282,088.30",62.33%,4.171666667,30,,,38901584,Entire Home/Apt,Premium,64.90%,"$846,327.00",4.50,,,,,,30787515,Brooke,"$673,503.00",10,84.08%,,,,
Windsor Square,"$273,750.00",100.00%,3.25,1,,,36450480,Entire Home/Apt,Premium,100.00%,"$835,850.00",2.57,,,,,,10981379,Jan,"$662,412.00",11,83.05%,,,,
Malibu,"$272,845.65",54.11%,8.226470588,17,,,21383010,Entire Home/Apt,Premium,100.00%,"$782,195.00",2.78,,,,,,66467141,Dominique,"$657,000.00",1,100.00%,,,,
Oakland Ave-Harrison St,"$266,786.33",91.97%,4.726666667,3,,,31361375,Entire Home/Apt,Premium,52.60%,"$768,000.00",5.11,,,,,,33295885,Yarden,"$620,730.00",6,54.17%,,,,
Wailuku-Kahului,"$237,250.00",100.00%,2.05,1,,,40015624,Entire Home/Apt,Premium,81.10%,"$740,000.00",2.95,,,,,,168954066,Suzanne,"$620,500.00",1,100.00%,,,,
Century City,"$229,450.00",96.70%,2.82,1,,,39419051,Entire Home/Apt,Premium,100.00%,"$620,500.00",1.30,,,,,,73786647,Bobbi,"$620,500.00",1,100.00%,,,,
North Shore Oahu,"$226,205.89",31.48%,2.851111111,18,,,38413098,Entire Home/Apt,Premium,80.00%,"$559,764.00",2.24,,,,,,168144766,Keri,"$617,580.00",1,100.00%,,,,
Rainier View,"$219,000.00",100.00%,2.62,1,,,17663200,Entire Home/Apt,Premium,100.00%,"$547,500.00",0.92,,,,,,20120594,Mary,"$617,405.00",2,53.15%,,,,
West Olentangy,"$200,750.00",100.00%,3.94,1,,,10958463,Private Room,Premium,100.00%,"$547,500.00",2.88,,,,,,133277835,William,"$609,400.00",1,75.90%,,,,
Scott,"$185,300.63",62.91%,1.635,8,,,33614280,Entire Home/Apt,Premium,56.70%,"$449,190.00",2.27,,,,,,64818546,Dan,"$602,250.00",1,100.00%,,,,
St. Croix,"$183,737.50",52.05%,1.05,2,,,27161388,Entire Home/Apt,Premium,100.00%,"$438,000.00",0.42,,,,,,247717764,Joe,"$547,500.00",1,100.00%,,,,
Pacific Beach,"$168,352.15",53.93%,2.154791667,48,,,21722875,Entire Home/Apt,Premium,100.00%,"$438,000.00",0.42,,,,,,168903763,Charles,"$547,500.00",1,100.00%,,,,
Washington,"$167,190.71",32.26%,1.254285714,7,,,33938979,Entire Home/Apt,Premium,45.50%,"$415,000.00",2.62,,,,,,160793893,Peter,"$547,500.00",1,100.00%,,,,
City Of Capitola,"$157,189.00",84.21%,2.475,8,,,28503215,Entire Home/Apt,Premium,51.20%,"$371,195.00",1.75,,,,,,94378553,Treye,"$547,500.00",1,100.00%,,,,
Hollywood Hills West,"$151,281.13",62.23%,2.496666667,30,,,28241815,Entire Home/Apt,Premium,100.00%,"$365,000.00",1.10,,,,,,37943116,Joel,"$547,500.00",1,100.00%,,,,
Saratoga,"$146,608.33",66.67%,2.51,3,,,17824350,Entire Home/Apt,Premium,100.00%,"$365,000.00",0.55,,,,,,21784104,Paulo,"$547,500.00",1,100.00%,,,,
Chinatown,"$135,948.69",64.95%,1.816923077,39,,,37554297,Private Room,Premium,100.00%,"$364,635.00",0.11,,,,,,14564387,Alissa,"$547,500.00",1,100.00%,,,,
78737,"$135,152.71",69.24%,1.644285714,7,,,19824550,Private Room,Premium,100.00%,"$364,635.00",2.51,,,,,,11461854,Lauren,"$547,500.00",1,100.00%,,,,
Madrona,"$131,966.00",91.65%,1.765,2,,,41715659,Shared Room,Premium,99.20%,"$361,638.00",0.49,,,,,,2620843,Sandra,"$547,500.00",1,100.00%,,,,
Kerns,"$131,210.33",68.42%,2.691666667,6,,,31390386,Entire Home/Apt,Premium,94.50%,"$347,070.00",0.22,,,,,,30283594,Global Luxury Suites,"$542,528.00",26,19.43%,,,,
Portola Valley,"$121,940.00",99.70%,1.67,1,,,30161651,Entire Home/Apt,Premium,100.00%,"$346,750.00",0.06,,,,,,101401250,Parrish,"$534,943.00",11,25.44%,,,,
Woodminster,"$114,480.00",39.50%,5.06,1,,,23958705,Entire Home/Apt,Premium,100.00%,"$346,750.00",0.18,,,,,,279777862,John,"$529,250.00",2,100.00%,,,,
Ramsey,"$113,527.26",68.00%,0.6901886792,53,,,13882394,Entire Home/Apt,Premium,50.70%,"$333,000.00",1.44,,,,,,149306068,Crystal,"$523,482.00",6,35.68%,,,,
Gramercy,"$112,981.36",73.33%,2.126363636,11,,,41231372,Entire Home/Apt,Premium,51.50%,"$332,760.00",1.53,,,,,,173227890,Dharma,"$520,890.00",4,92.73%,,,,
Hennepin,"$112,073.38",61.29%,0.8678911565,147,,,6558125,Entire Home/Apt,Premium,100.00%,"$328,500.00",0.21,,,,,,7782015,Majestic,"$512,532.00",1,75.60%,,,,
La Puente,"$111,784.00",97.50%,1.36,1,,,6152801,Entire Home/Apt,Premium,100.00%,"$328,500.00",-0.04,,,,,,118565935,Renters Club,"$488,457.00",3,54.80%,,,,
Lighthouse Point,"$111,332.00",50.03%,1.646666667,3,,,30015762,Entire Home/Apt,Premium,100.00%,"$328,135.00",1.02,,,,,,329023890,David,"$474,778.00",1,75.90%,,,,
West Queen Anne,"$108,242.50",79.85%,1.58,2,,,21153006,Entire Home/Apt,Premium,71.50%,"$320,508.00",2.62,,,,,,152986415,Andrew,"$456,250.00",1,100.00%,,,,
Jamestown,"$106,700.00",54.25%,1.5,2,,,32029379,Entire Home/Apt,Premium,86.00%,"$314,000.00",0.98,,,,,,133927887,Kat,"$456,250.00",2,100.00%,,,,
Kihei-Makena,"$106,140.11",38.75%,1.386478873,142,,,38898027,Entire Home/Apt,Premium,68.80%,"$313,750.00",1.14,,,,,,17330942,Mike,"$456,250.00",1,100.00%,,,,
78733,"$104,361.60",55.22%,3.654,5,,,39551538,Private Room,Premium,83.60%,"$309,575.00",0.16,,,,,,121931799,Monica,"$450,606.00",1,87.10%,,,,
Mission Bay,"$103,373.52",49.45%,1.715753425,73,,,43930269,Entire Home/Apt,Premium,100.00%,"$304,775.00",1.15,,,,,,4140161,Executive,"$450,290.00",4,64.05%,,,,
Back Bay,"$102,206.90",85.26%,1.792,10,,,23805572,Entire Home/Apt,Premium,55.90%,"$303,756.00",0.97,,,,,,64443919,San Diego Sunset,"$449,725.00",2,84.80%,,,,
Visitacion Valley,"$101,976.00",65.93%,1.02,3,,,34200171,Entire Home/Apt,Premium,81.90%,"$299,000.00",0.64,,,,,,210733801,Above,"$449,190.00",1,56.70%,,,,
Merriwood,"$100,885.00",49.45%,3.15,2,,,14983217,Private Room,Premium,90.40%,"$296,340.00",-0.09,,,,,,83751411,Ion,"$438,000.00",1,100.00%,,,,
Torrey Pines,"$97,200.00",44.40%,1.96,1,,,30372224,Entire Home/Apt,Premium,100.00%,"$294,920.00",1.34,,,,,,2381030,Terry,"$438,000.00",1,100.00%,,,,
Central Oahu,"$96,600.00",75.60%,1.1,1,,,22916899,Entire Home/Apt,Premium,100.00%,"$292,000.00",0.29,,,,,,18476866,Kona Coast,"$437,526.00",9,31.42%,,,,
78736,"$95,995.00",100.00%,0.9866666667,3,,,37393364,Entire Home/Apt,Premium,100.00%,"$291,635.00",0.95,,,,,,266065811,Leavetown,"$431,430.00",1,100.00%,,,,
Tribeca,"$93,964.47",69.15%,2.294,15,,,11973375,Entire Home/Apt,Premium,100.00%,"$290,175.00",-0.25,,,,,,193512222,Lesli,"$427,228.00",2,63.55%,,,,
Marina,"$90,850.17",50.11%,1.419166667,12,,,9548317,Entire Home/Apt,Premium,100.00%,"$290,175.00",0.39,,,,,,271118401,Catalina Vacations,"$418,738.00",7,21.73%,,,,
Little Compton,"$90,491.00",55.60%,1.775,2,,,43602975,Entire Home/Apt,Premium,76.70%,"$279,720.00",1.83,,,,,,1728271,Lydia,"$415,500.00",1,75.90%,,,,
University Park,"$90,287.00",73.74%,1.528,5,,,17703938,Entire Home/Apt,Premium,100.00%,"$273,750.00",-0.29,,,,,,256281358,Bennett,"$415,000.00",1,45.50%,,,,
Vinegar Hill,"$89,425.00",100.00%,1.5,1,,,4463809,Entire Home/Apt,Premium,100.00%,"$273,750.00",-0.28,,,,,,159346794,Brady,"$412,500.00",1,75.30%,,,,
Eastlake,"$89,425.00",100.00%,1.07,1,,,36157481,Entire Home/Apt,Premium,83.30%,"$273,296.00",1.03,,,,,,20704144,William,"$408,375.00",5,99.46%,,,,
Briarcliff,"$89,425.00",100.00%,1.07,1,,,39225953,Shared Room,Premium,75.60%,"$272,136.00",0.10,,,,,,55581059,Ingrid,"$405,000.00",1,74.00%,,,,
North City,"$88,775.50",51.30%,1.365,4,,,15484215,Entire Home/Apt,Premium,100.00%,"$270,100.00",0.41,,,,,,78139874,Chris,"$404,525.00",3,41.37%,,,,
Del Mar Heights,"$86,778.33",57.90%,1.23,3,,,1728497,Entire Home/Apt,Premium,98.40%,"$269,250.00",-0.23,,,,,,2780566,Laura,"$402,000.00",1,55.10%,,,,
Eliot,"$86,700.00",93.20%,1.78,1,,,5069803,Entire Home/Apt,Premium,97.50%,"$267,000.00",0.44,,,,,,207248018,Sina,"$401,831.00",2,30.55%,,,,
78747,"$85,125.00",55.45%,1.305,2,,,13601777,Entire Home/Apt,Premium,72.90%,"$266,000.00",0.38,,,,,,52823721,Stephen,"$401,500.00",1,100.00%,,,,
Midtown,"$83,735.85",60.57%,1.932079208,101,,,10308000,Entire Home/Apt,Premium,66.30%,"$264,990.00",0.32,,,,,,34221716,Ryan,"$401,500.00",1,100.00%,,,,
Bel-Air,"$83,525.00",26.64%,9.318,5,,,29663310,Entire Home/Apt,Premium,99.70%,"$262,080.00",-0.36,,,,,,94017380,Liliane,"$393,648.00",3,79.90%,,,,
Portland Downtown,"$83,073.08",85.05%,1.875,12,,,1212746,Entire Home/Apt,Premium,65.80%,"$258,000.00",2.47,,,,,,114353388,Stay Alfred,"$388,889.00",3,34.87%,,,,
Hell'S Kitchen,"$81,799.71",62.00%,2.0144,75,,,9500935,Shared Room,Premium,100.00%,"$255,500.00",-0.42,,,,,,8735628,Cindy,"$372,652.00",3,93.97%,,,,
Ward 4,"$81,530.00",72.10%,2.85,1,,,30181523,Entire Home/Apt,Premium,68.20%,"$255,225.00",0.99,,,,,,101426897,Host Extraordinaires,"$371,805.00",6,30.82%,,,,
Audubon,"$80,465.00",61.57%,2.24,3,,,20149972,Entire Home/Apt,Premium,100.00%,"$253,675.00",0.88,,,,,,142247259,Dr. Katie,"$369,815.00",1,50.70%,,,,
78734,"$79,723.83",49.68%,1.53,6,,,18737594,Entire Home/Apt,Premium,90.40%,"$250,140.00",-0.19,,,,,,167615904,Michael,"$365,000.00",1,100.00%,,,,
78746,"$79,369.38",68.58%,1.799166667,24,,,36110905,Entire Home/Apt,Premium,76.20%,"$249,922.00",0.17,,,,,,146228387,Tillie,"$365,000.00",1,100.00%,,,,
78730,"$79,195.25",55.08%,1.0175,4,,,9463640,Entire Home/Apt,Premium,96.70%,"$247,100.00",-0.26,,,,,,121867944,Katy,"$365,000.00",1,100.00%,,,,
78728,"$78,102.50",87.10%,0.85,2,,,28935709,Private Room,Premium,51.00%,"$241,614.00",0.77,,,,,,85136275,Rachel,"$365,000.00",1,100.00%,,,,
Pacific Palisades,"$77,812.36",50.21%,1.764545455,11,,,5401641,Entire Home/Apt,Premium,54.80%,"$240,000.00",0.44,,,,,,84802099,Sam,"$365,000.00",1,100.00%,,,,
North Beach,"$77,442.50",87.95%,0.965,4,,,25007949,Entire Home/Apt,Premium,99.70%,"$239,148.00",0.48,,,,,,56887970,Josh,"$365,000.00",1,100.00%,,,,
Playa Del Rey,"$76,662.20",70.90%,2.078,5,,,27819608,Entire Home/Apt,Premium,100.00%,"$237,250.00",-0.41,,,,,,140076294,Tony,"$364,635.00",1,100.00%,,,,
East Queen Anne,"$75,943.33",79.83%,1.15,3,,,34506853,Entire Home/Apt,Premium,100.00%,"$236,885.00",-0.25,,,,,,84583753,Hanny,"$363,175.00",2,100.00%,,,,
Beverly Grove,"$75,582.65",42.89%,1.559411765,17,,,31494745,Entire Home/Apt,Premium,55.90%,"$235,620.00",0.41,,,,,,2126106,Andrew,"$362,880.00",1,52.60%,,,,
Historic South-Central,"$74,939.40",58.20%,0.962,5,,,18489187,Entire Home/Apt,Premium,100.00%,"$234,330.00",0.48,,,,,,18774854,Kevin,"$361,350.00",1,100.00%,,,,
Fort Greene,"$74,109.33",67.89%,1.851111111,18,,,10813492,Entire Home/Apt,Premium,84.70%,"$233,913.00",0.97,,,,,,26051297,Kiara,"$353,685.00",1,100.00%,,,,
Middletown,"$73,274.79",55.73%,1.490714286,14,,,18472916,Entire Home/Apt,Premium,78.90%,"$230,400.00",1.56,,,,,,1237762,Myles,"$348,288.00",2,61.55%,,,,
Koolauloa,"$72,371.00",65.73%,1.003333333,12,,,40117916,Entire Home/Apt,Premium,96.70%,"$229,450.00",-0.08,,,,,,172098043,Catherine,"$346,750.00",1,100.00%,,,,
South End,"$71,255.40",64.82%,1.831,10,,,43235209,Entire Home/Apt,Premium,100.00%,"$229,220.00",3.36,,,,,,112018681,Cynthia,"$346,750.00",1,100.00%,,,,
Beverly Crest,"$70,954.88",37.28%,5.33875,8,,,6248083,Entire Home/Apt,Premium,100.00%,"$224,475.00",1.24,,,,,,6433339,Wendy,"$346,750.00",1,100.00%,,,,
La Canada Flintridge,"$70,212.50",51.90%,1.5675,4,,,39249602,Entire Home/Apt,Premium,100.00%,"$219,000.00",-0.54,,,,,,3239157,Megan,"$346,750.00",1,100.00%,,,,
Sunset Hill,"$70,068.33",76.80%,1.003333333,3,,,34177285,Entire Home/Apt,Premium,100.00%,"$219,000.00",-0.21,,,,,,18530088,Amalya,"$345,444.00",3,97.43%,,,,
Cobble Hill,"$69,768.33",88.50%,1.383333333,3,,,31377252,Entire Home/Apt,Premium,100.00%,"$219,000.00",-0.52,,,,,,118578746,Chase 'N Rainbows,"$344,767.00",12,28.93%,,,,
78701,"$69,632.73",68.40%,1.068333333,30,,,26806684,Entire Home/Apt,Premium,100.00%,"$219,000.00",-0.34,,,,,,49186997,Joseph,"$333,000.00",1,50.70%,,,,
Brentwood,"$68,717.11",44.50%,2.388888889,9,,,7544803,Private Room,Premium,100.00%,"$219,000.00",-0.28,,,,,,95725938,Michael,"$332,760.00",1,51.50%,,,,
"Kalorama Heights, Adams Morgan, Lanier Heights","$68,454.54",69.23%,1.287692308,13,,,37752132,Entire Home/Apt,Premium,99.70%,"$218,400.00",0.38,,,,,,230016718,Sam,"$330,904.00",2,90.40%,,,,
Newport,"$68,194.39",55.16%,1.683157895,38,,,28277494,Entire Home/Apt,Premium,99.70%,"$218,400.00",1.26,,,,,,152078566,Samantha,"$328,500.00",1,100.00%,,,,
Castro/Upper Market,"$67,842.39",59.98%,0.8896428571,28,,,5478741,Entire Home/Apt,Premium,99.70%,"$214,396.00",1.15,,,,,,104940767,Nathan,"$328,500.00",1,100.00%,,,,
Lakeview,"$67,687.00",65.90%,1.81,2,,,19075555,Entire Home/Apt,Premium,100.00%,"$209,875.00",-0.37,,,,,,54258712,Monica,"$328,500.00",1,100.00%,,,,
Tuxedo,"$67,525.00",100.00%,1.18,1,,,43780040,Entire Home/Apt,Premium,83.30%,"$209,152.00",0.87,,,,,,31916987,Jerald,"$328,500.00",1,100.00%,,,,
Darnall,"$66,430.00",100.00%,0.59,1,,,44001182,Entire Home/Apt,Premium,27.10%,"$208,593.00",3.74,,,,,,28305098,Bishal,"$328,500.00",1,100.00%,,,,
Tierrasanta,"$66,156.00",65.93%,1.003333333,3,,,14710928,Entire Home/Apt,Premium,94.50%,"$207,000.00",8.17,,,,,,9419684,Mike,"$323,780.00",11,28.68%,,,,
Lawton Park,"$66,151.80",87.98%,0.952,5,,,31697637,Entire Home/Apt,Premium,75.30%,"$206,250.00",-0.17,,,,,,680107,Kahea,"$320,701.00",7,16.10%,,,,
Avalon,"$66,052.17",23.57%,3.515,6,,,39466783,Entire Home/Apt,Premium,93.70%,"$205,200.00",1.31,,,,,,10678098,Brian,"$319,375.00",1,100.00%,,,,
78723,"$65,791.82",73.53%,4.171818182,11,,,9370214,Entire Home/Apt,Premium,85.80%,"$202,824.00",-0.50,,,,,,88168913,710 Vacation Rentals,"$318,455.00",5,19.30%,,,,
Palo Alto,"$65,775.72",59.63%,1.697608696,46,,,286311,Entire Home/Apt,Premium,100.00%,"$202,575.00",-0.23,,,,,,30505225,Dani,"$314,000.00",1,86.00%,,,,
78732,"$65,729.80",42.18%,5.356,5,,,32047649,Entire Home/Apt,Premium,92.30%,"$202,200.00",0.29,,,,,,118262470,Living The Dream,"$313,750.00",1,68.80%,,,,
Elyria Swansea,"$65,700.00",100.00%,0.86,1,,,5919529,Entire Home/Apt,Premium,99.20%,"$201,272.00",-0.31,,,,,,160209296,Nathan,"$310,250.00",1,100.00%,,,,
Narragansett,"$65,440.80",76.16%,0.859,20,,,38296494,Entire Home/Apt,Premium,100.00%,"$200,750.00",-0.62,,,,,,29941633,William,"$310,250.00",1,100.00%,,,,
78721,"$65,251.38",97.23%,0.68125,8,,,27088626,Entire Home/Apt,Premium,100.00%,"$200,750.00",-0.59,,,,,,24584688,Chris,"$310,250.00",2,100.00%,,,,
Greenwich Village,"$65,241.24",65.19%,2.015882353,17,,,12523323,Entire Home/Apt,Premium,100.00%,"$200,750.00",-0.59,,,,,,6910298,Anna,"$310,250.00",1,100.00%,,,,
La Habra Heights,"$64,368.33",70.03%,0.8166666667,3,,,42883826,Entire Home/Apt,Premium,82.70%,"$195,696.00",0.08,,,,,,1831800,Nick,"$310,250.00",1,100.00%,,,,
West Cambridge,"$63,976.00",97.95%,1.1275,4,,,35086354,Hotel Room,Premium,31.50%,"$191,705.00",1.64,,,,,,224182447,Kaanapali Beach Cottages,"$310,000.00",1,84.90%,,,,
Soho,"$63,790.93",80.00%,1.365,14,,,33782042,Entire Home/Apt,Premium,100.00%,"$188,705.00",-0.69,,,,,,303686027,Viceroy,"$309,575.00",1,83.60%,,,,
Fort Lauderdale,"$63,755.00",49.46%,1.243333333,108,,,41510903,Entire Home/Apt,Premium,65.80%,"$188,640.00",0.46,,,,,,222422737,Kiran,"$307,800.00",1,44.40%,,,,
78703,"$63,454.79",68.62%,1.314583333,24,,,27831530,Entire Home/Apt,Premium,44.90%,"$188,600.00",1.66,,,,,,351734662,Kevin,"$304,775.00",1,100.00%,,,,
